code,name,city,country,lat,lon
YNM,Matagami,Matagami,Canada,49.761667,-77.802778
YOC,Old Crow,Old Crow,Canada,67.570556,-139.839167
YOD,Cold Lake,Cold Lake,Canada,54.404999,-110.279444
YOJ,High Level,High Level,Canada,58.621389,-117.164722
YOW,Ottawa Macdonald Cartier Intl,Ottawa,Canada,45.3225,-75.669167
YPA,Prince Albert Glass Field,Prince Albert,Canada,53.214167,-105.672778
YPE,Peace River,Peace River,Canada,56.226944,-117.447222
YPG,Southport,Portage-la-prairie,Canada,49.903056,-98.273889
,Pitt Meadows,Pitt Meadows,Canada,49.21611,-122.71
YPL,Pickle Lake,Pickle Lake,Canada,51.446388,-90.214167
YPN,Port Menier,Port Menier,Canada,49.836389,-64.288611
YPQ,Peterborough,Peterborough,Canada,44.23,-78.363333
YPR,Prince Rupert,Prince Pupert,Canada,54.28611,-130.444722
YPY,Fort Chipewyan,Fort Chipewyan,Canada,58.767223,-111.117222
YQA,Muskoka,Muskoka,Canada,44.974722,-79.303333
YQB,Quebec Jean Lesage Intl,Quebec,Canada,46.791111,-71.393333
YQF,Red Deer Regional,Red Deer Industrial,Canada,52.182222,-113.894444
YQG,Windsor,Windsor,Canada,42.275556,-82.955556
YQH,Watson Lake,Watson Lake,Canada,60.116389,-128.8225
YQK,Kenora,Kenora,Canada,49.788334,-94.363056
YQL,Lethbridge,Lethbridge,Canada,49.630278,-112.799722
YQM,Greater Moncton Intl,Moncton,Canada,46.112221,-64.678611
YQQ,Comox,Comox,Canada,49.710833,-124.886667
YQR,Regina Intl,Regina,Canada,50.431944,-104.665833
YQT,Thunder Bay,Thunder Bay,Canada,48.371944,-89.323889
YQU,Grande Prairie,Grande Prairie,Canada,55.179722,-118.885
YQV,Yorkton Muni,Yorkton,Canada,51.264721,-102.461667
YQW,North Battleford,North Battleford,Canada,52.769167,-108.24361
YQX,Gander Intl,Gander,Canada,48.936944,-54.568056
YQY,Sydney,Sydney,Canada,46.161388,-60.047779
YQZ,Quesnel,Quesnel,Canada,53.026112,-122.510278
YRB,Resolute Bay,Resolute,Canada,74.716944,-94.969444
YRI,Riviere Du Loup,Riviere Du Loup,Canada,47.764444,-69.584722
YRJ,Roberval,Roberval,Canada,48.52,-72.265556
YRM,Rocky Mountain House,Rocky Mountain House,Canada,52.429722,-114.904167
YRT,Rankin Inlet,Rankin Inlet,Canada,62.81139,-92.115833
YSB,Sudbury,Sudbury,Canada,46.625,-80.798889
