code_depart,code_arrive,passengers
MCO,IND,11377
ORD,YXE,1020
LGA,YYZ,34189
SAL,JFK,6789
CPH,EWR,5901
MSP,ROC,1365
BNA,SAN,4414
AUS,HOU,11701
BOS,RSW,24458
SFO,RDU,4107
SFB,GRR,1379
PDX,JFK,6580
HOU,TPA,13067
MBJ,BWI,5051
PVU,OAK,1292
DEN,CMH,6330
FCA,MSP,1949
ECP,BNA,3359
LHR,SEA,10085
JFK,ORF,1682
DBQ,ORD,2259
LHR,LAS,8920
MSO,SLC,4687
CUN,CLT,16451
IAD,PTY,5700
LIH,YVR,4215
ORD,AZO,2588
IAH,BFL,2246
SLC,CVG,7418
NRT,DFW,14535
CLE,DEN,11122
DEN,RAP,5398
CLT,ABE,3628
ATL,MSY,50640
BWI,ALB,12190
SFO,PHX,35701
SRQ,YYZ,3156
CVG,TPA,3646
CID,ATL,3512
POS,EWR,1230
HNL,IAD,2078
EWR,CDG,9511
LGA,HOU,6315
PVU,AZA,1308
SFO,LIM,2512
RST,ORD,3276
SAN,YYC,2676
PHL,PBI,13607
YYC,MCO,2465
PHX,LHR,6784
AZA,FWA,1296
ICT,MDW,3341
BUF,LGA,5171
SWF,FLL,2782
PDL,BOS,2088
LGA,BNA,14977
TUL,HOU,7646
DTW,JFK,8020
SFB,PHF,1245
SBP,PHX,4399
IAH,SLC,15475
ZRH,IAD,3638
YYZ,CLE,2387
GRB,ATL,1629
PIE,ELM,1424
LAS,IND,7522
CLT,MKE,6783
XNA,LAX,1268
BET,ANC,3922
IND,LAX,5453
PBI,HPN,11758
PVR,SEA,5256
LRM,JFK,1398
SNA,SJC,25309
HKG,ORD,14273
DTW,PIT,6262
BOS,PDX,2795
SFB,LCK,1297
MHT,MDW,6989
MSP,SLC,20740
BHM,DFW,6168
MDW,CLE,13649
STS,SEA,1890
SGU,SLC,3292
ATL,ECP,10442
BNA,MCI,9632
SDQ,MIA,22493
DCA,RSW,6550
DEN,PSP,7493
MIA,SJO,21927
IND,CUN,1029
MIA,CTG,3501
EWR,YUL,7245
CLE,EWR,11018
EWR,EDI,4059
FSD,AZA,2965
RIC,JFK,2452
SLC,BTM,2271
CLT,OMA,4037
ADD,IAD,7721
MCI,SEA,4348
EIS,SJU,5585
CLT,LGA,50440
BOS,PHL,44927
PIA,PIE,2178
SFO,SJD,7480
MBJ,MCO,4483
BNA,IAD,2997
BIS,DEN,5904
LEX,PGD,1515
OGD,AZA,1319
SNA,SEA,20308
PHX,LAX,72057
SJU,CLT,14158
MDW,CHS,1940
SFO,ONT,6077
PHL,AUS,1851
IAH,CVG,5044
MCO,YHZ,1025
ORD,CAK,2193
FSD,DFW,3859
SFB,OKC,1160
JAX,JFK,7308
CLT,BWI,35743
MSY,LAX,13822
OAK,ONT,18333
MCI,MSP,14640
ORD,YOW,5123
ILM,ATL,6250
FLL,ORD,32253
DEN,YYZ,7416
OAK,LAS,34148
FAI,SCC,4366
PHL,BDL,10606
SBN,PGD,1688
TGU,IAH,3128
EWR,MXP,5249
SFO,HNL,34810
AVL,CLT,8024
CUN,IND,1066
GTF,AZA,1675
VIE,JFK,5131
MIA,GUA,12198
YYZ,BWI,2022
JFK,CVG,2132
TUL,LAS,3735
NRT,ORD,31262
PSC,AZA,1373
SMF,PSP,2106
SNA,MEX,5761
DSM,SFB,1439
RNO,SEA,8137
BWI,PUJ,2392
CVG,PHL,8895
GSP,DFW,3934
AKL,SFO,9974
SAV,ATL,21533
BIL,AZA,1495
ORD,MIA,41396
DEN,MSY,20067
BWI,ORD,10886
BOS,SDQ,2656
IAH,SAV,1135
GIG,IAH,7308
RDU,DTW,6443
IAD,MCO,17420
SBN,DTW,4583
FLL,RIC,2372
BHM,BWI,5885
SNA,DFW,34179
SFO,MDW,5622
IAD,PHL,4665
ATW,LAS,1291
RST,AZA,1503
DTW,SFO,13776
SBA,PHX,6858
PUJ,ATL,16780
REC,MIA,3637
CDV,YAK,1082
LAX,PDX,26239
IAD,SAT,2887
GSP,BWI,2884
MGA,IAH,9211
IAH,GUA,10052
PHX,PDX,33967
DFW,BWI,20214
SDQ,SJU,10977
STL,MCI,9666
GIG,DFW,4823
CPH,SFO,3855
CMH,BNA,5409
SAV,IAD,2220
ATL,BDL,25946
LAS,BIL,1149
PVD,DTW,4889
PHX,BUF,3768
OMA,LAS,6989
SEA,OMA,1363
CLE,ATL,14023
MSP,MCI,15263
IAD,BOG,3050
MIA,BNA,5775
PDX,AMS,3779
ORD,YYC,5318
PNS,MCO,1190
OSA,JFK,3989
ORD,GRB,5892
CLT,PHL,33846
YYZ,FLL,28458
ANU,MIA,3432
CID,SFB,1518
PDX,BOS,3246
RDU,MDW,6975
CUN,ORD,17848
RAP,MSP,4511
SNA,SMF,18556
MCO,SYR,4791
BTR,IAH,6444
YHZ,ORD,1003
MCO,SAT,4679
JAX,DEN,4045
CCS,SJU,1923
ORD,YWG,4585
PHL,ERI,2212
PWM,DCA,5884
DAY,BWI,4485
MIA,PHX,7122
OAK,BUR,31171
PIE,TYS,2067
PHL,HPN,3374
LGA,IAH,23627
BUF,TPA,4679
NRT,SEA,16728
SFB,CKB,1127
PIE,IAG,1380
PBI,MHH,1231
ASE,ORD,4588
VER,IAH,2296
ORD,AMM,3472
ENA,ANC,7722
RDM,DEN,1624
JFK,MIA,38398
SFB,KEF,2039
FLL,STL,3952
MHT,MCO,8568
HOU,FLL,6854
BDA,ATL,2270
IAH,LRD,2042
MIA,JFK,41180
LAS,GFK,1314
JFK,MSY,7571
BTV,EWR,4965
ATL,MSN,6256
SNA,ORD,18130
SFO,PDX,41303
GRB,DTW,5006
AMS,SFO,5649
STL,EWR,7917
MLM,DFW,1240
EWR,PDX,4272
BDL,DFW,9155
LAS,MAF,5562
LEX,FLL,1413
LGA,XNA,1207
SLC,RDU,2390
MSY,MCO,12337
ATL,SBN,2998
IAH,ORD,49041
EUG,AZA,1381
IAH,CLE,14341
MIA,ORF,2648
MCO,PTY,15989
FLL,LBE,3805
OAK,GDL,5648
ATL,FNT,8778
MAN,IAD,2321
DFW,XNA,11609
ABQ,LAS,12588
ATL,TTN,2316
MTJ,ORD,1195
GSP,ATL,16782
DFW,GUA,3942
FLL,YYZ,28740
BWI,OKC,2993
EWN,CLT,5542
SFO,RDM,2181
SJC,LAX,51335
YUL,SFO,2439
ATL,PTY,4273
DTW,MDW,16719
RDU,TPA,6669
BNA,LGA,13978
OGG,ANC,2051
ATL,AUA,6757
MSP,SFO,23862
PGD,CID,1251
EWR,LAX,52065
FLL,SEA,4459
SAN,OGG,4272
SNA,ATL,14058
LHR,PHL,12374
LBB,LAS,3440
GRR,SFB,1421
BWI,CUN,6295
SJC,SNA,23504
IAH,EWR,36023
BOS,MKE,3598
PHL,FRA,8938
MIA,SCU,1096
GFK,AZA,1588
PGD,TYS,1383
DCA,PHL,10723
TWF,SLC,2545
TPA,STL,6938
MCO,YYZ,29161
IAD,SCE,1694
SNN,JFK,1490
ISN,DEN,4365
MCI,MKE,5134
OKC,LAS,6287
DAL,BHM,7925
KOA,HNL,60163
ORD,CMH,16467
MDW,BOS,8126
JFK,SEA,17680
LIR,EWR,1317
STL,SLC,4579
IST,LAX,9792
SYR,PHL,6215
BOS,ORD,48802
JFK,AMS,21512
IAD,BGM,1516
ABR,MSP,2254
BDL,DEN,4639
SEA,FCA,3415
DFW,ICT,11066
RSW,DFW,14074
ATL,DCA,55280
JAN,HOU,5045
DTW,ITH,1857
MKE,MDW,3023
PHX,MDW,19331
CLE,FLL,4664
YQB,FLL,4195
PSE,MCO,4978
DSM,DCA,1959
GPT,ATL,8618
SAT,DTW,3743
RDU,YYZ,2016
PHL,PWM,7261
DEN,ABQ,17030
BGM,PHL,2177
PHL,TYS,1403
PBG,FLL,6544
PTY,EWR,5239
ATL,IAH,28435
DFW,ATL,64037
LAS,PIA,1561
JFK,VIE,4911
ORD,FRA,18402
TLV,EWR,22183
CVG,JFK,2151
JFK,AUH,7985
MCI,ABQ,2723
SLC,FAT,2683
LGA,MSN,1764
AGS,ATL,10818
ORD,MUC,9458
SEA,JNU,4762
YEG,LAS,7966
BUF,EWR,5109
STL,IAD,4270
TUS,SFO,2612
DFW,FAR,2232
NAS,JFK,6848
SFB,TOL,1280
MIA,MVD,5203
TLH,ATL,12198
HTS,SFB,1320
CLE,LAS,5224
SNA,GDL,2052
OKC,DFW,21464
HND,LAX,11480
DTW,GRB,4015
LAX,LIM,9168
ORD,CID,10916
ALB,BWI,12944
ATL,BMI,4044
SFB,MDT,1674
GSP,IAH,1066
GRR,MSP,11091
JFK,LOS,1876
CVG,RSW,3683
PHL,STT,3462
MDW,RSW,13390
ATL,FWA,3413
MSP,FCA,1941
OAK,PHX,26253
DFW,SDF,8496
ANC,SEA,43844
YOW,EWR,2734
SEA,PHL,10155
MKE,MSP,21581
BWI,FNT,3254
YUL,DCA,2647
PUJ,PIT,1379
ATL,GPT,8506
ORD,ICN,11363
PHX,SMF,29834
TPA,CLT,37034
PDX,DEN,35474
LAX,SFO,145322
IAH,ATL,27598
ATL,LEX,11229
MOB,IAH,4481
YYZ,ATL,15898
MXP,MIA,6052
DEN,HSV,1103
PWM,ORD,1353
VPS,DFW,4400
DTW,BMI,1266
TYS,IAH,2334
SJD,DEN,7286
DCA,ISP,1758
TTN,RSW,1593
DFW,GRR,4553
PHL,PVD,10668
DTW,CIU,1459
CTS,GUM,1744
ORD,BOI,1243
CLT,RDU,32423
ATL,MAN,3650
SJU,BOS,15430
DTW,PBI,6093
LAS,LAX,109132
AEX,IAH,2190
MCI,DCA,5208
RSW,DEN,6314
CUN,SFO,3922
RNO,SAN,5203
ORF,MDW,2303
LAX,IAD,42329
NRT,EWR,7245
SEA,LAS,43298
RNO,DFW,7262
ATL,SXM,3551
YXE,MSP,3101
ATL,KIN,3079
MIA,SAL,10094
AVL,PIE,1476
MIA,IND,3605
ELM,PIE,1230
HKG,JFK,23627
SFB,LIT,1049
DFW,MCI,23465
IND,DFW,15875
MKE,EWR,2702
SNA,SFO,35004
MSP,PHX,64348
ORD,FWA,4454
TPA,ORD,23006
IAH,COS,3901
MSY,IAD,4208
RAI,BOS,1191
SEA,STS,1885
EWR,MIA,29632
MDW,PUJ,2541
PVG,SEA,4520
ORD,CDG,9275
ROA,ATL,4727
MSP,GRR,10120
SMF,BUR,15927
ELP,HOU,6384
CUN,IAD,3611
ATL,CLE,14678
MCO,MSP,42749
RAP,DEN,5209
BUF,DTW,6404
NAS,ORD,1012
MHT,PHL,9423
IAD,ROA,1373
EUG,PDX,5778
LIM,FLL,4661
LIR,MIA,6680
YYZ,SRQ,3435
GEG,BOI,4338
LGA,CAE,1054
BWI,LAX,8071
RDD,SFO,1780
BTV,JFK,7173
ORD,DTW,28342
FNT,TPA,3788
GVA,EWR,3351
CLT,STL,13059
JFK,ORD,13820
FLL,BWI,43682
COS,SLC,2132
CLT,MSY,19814
MLI,AZA,1342
SEA,MIA,4858
AZA,RST,1319
SYR,DCA,5369
DXB,SEA,8000
PUJ,CLE,1145
ATL,MYR,5751
MSY,STL,4443
GPT,SFB,1303
ACK,HYA,3834
BOS,AUA,4732
LAX,RDM,1122
CDV,ANC,1078
ORD,SJU,12646
JFK,MUC,5203
EYW,CLT,4802
CLT,ALB,10124
YYZ,PHX,6699
BNA,PHX,8022
MTY,IAH,10143
BUR,SMF,16472
IAD,YUL,2869
DTW,LAX,25416
LAS,FAT,5551
HOU,LAS,16525
DTW,MDT,3628
GCM,IAH,2813
CLT,FAY,7898
DEN,FAR,6207
MFR,SLC,1936
TUS,PHX,15454
LAS,SMX,1748
LAX,ORD,84453
SLC,STL,5171
ANC,ORD,2463
ATL,CMH,27311
MZT,LAX,3350
SUX,ORD,1613
IAD,GVA,3082
BOS,MBJ,1264
BOS,SFO,40933
CLT,GNV,4396
SFO,ASE,1363
PHL,FCO,4675
SBA,SEA,1606
MIA,STX,6191
MKE,DCA,5935
DUB,MCO,2233
PVR,ORD,7308
DEN,GUC,1062
PUJ,MKE,1019
PIE,GRR,1840
ORD,SEA,34945
BSB,ATL,4470
EWR,OSL,6698
TPA,MSP,20702
MDW,LIT,3077
IAH,PVR,4979
CUN,BOS,3267
BOS,RIC,6322
DCA,MSY,8058
MDW,PDX,3228
MTJ,DFW,1644
MSP,TUL,1221
OMA,MCO,1552
PDX,KOA,4571
IAH,DAL,6493
JFK,OAK,2021
YQT,ORD,1123
MCI,EWR,3539
OMA,PHX,15390
BWI,DEN,18675
XNA,DFW,11549
HOU,DAL,64417
GSO,LGA,2405
JNU,ANC,6709
ATL,SYR,8131
MIA,SNU,2202
FCA,DEN,2901
EUG,SLC,2224
HSV,DTW,1236
DUB,EWR,4707
MID,MIA,1081
MCO,TTN,2906
IAD,SJU,2137
NRT,SAN,4879
ABQ,ORD,3415
ORD,CAE,2379
DEN,MSN,8504
SCE,DTW,1827
BFS,EWR,2313
IAH,ONT,4050
SLC,FAR,1383
MEX,PHX,8480
IND,BOS,1612
ORF,ORD,3408
FLL,CLE,4753
ISP,FLL,8195
PSP,PDX,3687
PIT,SFO,1584
MCI,IAH,8387
MIA,TXL,5280
AZA,IDA,1485
STL,LAS,11914
RDU,LGA,15329
AZA,FSD,2702
RNO,PDX,4680
ANC,OGG,1858
KIX,HNL,22742
TLH,DFW,2099
FLL,IAG,4545
MIA,SFO,15960
LAX,ELP,6678
DCA,TYS,1630
MKE,PUJ,1120
BQN,FLL,2113
FCA,LAS,1284
DEN,TPA,16904
JFK,PBI,17462
SGF,SFB,1376
DFW,BHM,6353
SNA,PHX,42655
JAX,DTW,1573
FRA,EWR,14326
STR,ATL,3610
IAD,MCI,3193
PHX,BOS,14125
ORD,MSP,52195
MSY,MDW,5173
CLE,DCA,2269
SAT,IAH,22133
LAS,CPR,1290
EZE,JFK,13242
SFB,TUL,1212
SFB,PSM,1292
EWR,SJD,2119
SLC,EKO,1493
SXM,SJU,2789
EWR,RDU,7245
KTN,JNU,2398
MCO,BUF,13619
DAL,ELP,16188
HRL,IAH,3580
JAC,SFO,1197
DEN,BOI,16545
DCA,PNS,1078
AVL,ATL,8100
BWI,MSP,7284
BOG,MIA,34109
JFK,PEK,12409
FCO,BOS,1815
ATL,CAK,16093
JFK,LGB,6250
MIA,DFW,48135
IAH,SMF,8821
MSP,FAR,12911
PHL,ZRH,3489
MCO,MEX,8629
SAN,SJD,7207
PHX,CLE,3955
SJO,JFK,7589
CLT,MGM,2265
LAS,DEN,73844
MKE,DEN,18905
LAS,SLC,37942
DFW,LGA,51821
JFK,JAX,7094
MNL,SFO,11587
ORD,NRT,24758
YLW,SEA,5726
IAD,JED,3626
MSP,MCO,42493
MOT,LAS,2590
PHX,DCA,12508
PHL,LAX,28896
SJD,ORD,5305
CCS,IAH,4122
PHL,PUJ,7533
LAS,LRD,1312
BDL,MDW,5095
ACY,MYR,3165
YEG,DEN,4823
MOB,ATL,9188
KEF,IAD,1258
IAD,PIT,5890
MCI,CVG,2105
SFO,PVR,8189
JFK,NRT,24035
HOU,MAF,5981
CLT,BDL,17764
ATL,GSO,16235
EWN,ATL,1968
SBN,SFB,1414
AZA,RAP,1588
SEA,SUN,1297
SJO,ATL,9718
MCO,DUB,2746
AZA,PVU,1169
BUF,BWI,15578
BNA,MDW,15004
SFB,YNG,1427
GSP,BNA,2145
GEG,LAX,1656
AZA,PSC,1356
IAH,SJU,5006
ORD,LGA,78712
MCO,PHL,51990
CUN,LAX,10285
DAY,DEN,4742
SFO,MIA,15340
DSM,IAH,2126
AKL,HNL,5348
FLL,BNA,8235
LAX,SEA,63705
DTW,DFW,29381
ATL,BQK,1903
MSP,SBN,1043
AZA,GRI,1360
STT,CLT,6161
TPA,YYZ,12657
MEM,MSP,5369
SFO,PSC,1553
EWR,SDF,1600
PIE,FSD,1319
ATL,BTR,10403
FWA,SFB,1409
SAV,EWR,1051
MSY,LAS,7596
TPA,HAV,1445
PHX,LIH,4562
CMN,JFK,5290
ORD,PUJ,3139
IAD,CPH,3586
SAL,ORD,2636
IAD,CLE,4695
EWR,PWM,4052
JFK,POP,3375
DHN,ATL,3750
GRR,CVG,1985
JFK,CTG,2195
GUM,SPN,4390
PGD,SGF,1258
BWI,HOU,8267
STL,OKC,2699
EWR,FLL,40136
CUN,STL,3991
MSY,MCI,3331
PIT,CVG,1657
CLT,IAH,37922
IAH,ORF,1390
EWR,PHL,6477
ORD,LAS,38647
LAX,ZLO,2638
AMS,BOS,7687
PDX,DFW,18251
HOU,SNA,3829
SAT,MTY,2148
MIA,ORD,45416
DEN,GEG,17387
ORD,WAW,3833
GRU,JFK,29957
MIA,AUA,9334
SHV,LAS,1384
SJC,PDX,20470
TPA,MKE,6458
MSP,BJI,1652
DAL,LIT,10521
FLL,CVG,4637
MAD,JFK,17464
BWI,CMH,9110
DFW,GUC,2502
MEX,SFO,14840
DFW,ONT,15431
NRT,PDX,4751
PBI,ATL,50701
YYZ,JFK,7933
AUS,LAS,14301
PIT,PHX,10989
DCA,BUF,3342
DTW,MKE,12139
EWR,HOU,6031
CHS,BNA,2673
LAX,BNA,18304
ATL,JAX,48921
LAS,DCA,4014
ORD,PIA,5005
BWI,PHL,9303
TUL,MDW,1972
MIA,CLT,36789
SYD,DFW,8033
MIA,ASU,2148
HOU,PNS,2595
MKE,RSW,6936
ABQ,SFO,1287
SJO,PHX,2670
PVD,PHL,10948
DFW,YYC,5987
MCO,CMH,10590
CVG,BNA,1580
SJU,JAX,1910
MIA,RTB,1033
LAX,SBP,4001
JFK,BGI,6213
CLT,HSV,6348
JFK,DCA,10236
SBN,AZA,1335
CLT,CHS,17263
BOI,SLC,11077
DTW,MSP,29793
EWR,ORY,2841
FAY,IAD,1235
ATL,GRK,2525
CAK,ORD,2367
PHX,SFO,39510
CLD,LAX,3745
STL,LAX,13162
TTN,FLL,1300
SNN,EWR,3514
TPA,CID,1441
DCA,JAX,6650
SAT,BNA,5471
DFW,CHA,2196
YUL,IAH,1511
ATL,SCL,5635
ORD,LIT,5122
BNA,YYZ,1569
PSP,YYC,7487
YYZ,CLT,6897
BFL,DEN,1560
RSW,MDW,12442
SFO,STL,2259
JFK,IST,16316
SEA,YYC,5468
IDA,DEN,3093
SAL,IAH,11331
AUS,BOS,1772
SFO,CDG,11133
DEN,DCA,17236
PTY,ATL,4653
DTW,CHS,1158
CLT,MBJ,9765
PHX,FAT,8412
SAT,LAS,15219
CLT,SDF,12036
EWR,ZRH,8481
MCI,DEN,37897
PHL,SDF,2477
OAK,LIH,1778
IAH,RDU,4679
SFB,LAN,1318
MIA,KIN,9483
LIR,IAH,9987
PHF,PHL,2091
DFW,BJX,4721
BJX,ATL,1554
YQB,PHL,2060
VQS,SJU,3311
ALO,ORD,1354
DTW,ATL,47512
EWR,AMS,7253
SJU,PUJ,1705
BWI,STL,10579
DEN,IND,17265
FPO,MIA,4239
RDM,PDX,8181
MDW,IAD,10024
KWI,IAD,4128
PUJ,JFK,11864
MYR,ACY,3461
CID,DTW,3506
SFO,AMS,5133
ABQ,JFK,1549
CWA,DTW,2319
GUA,DFW,4210
EAU,ORD,1207
JFK,STL,1043
CLT,PVD,15144
MGM,DFW,2464
ANC,FAI,20495
DUS,MIA,6734
JAX,ORD,5333
LAS,YYJ,1064
ATL,SDQ,4012
TOL,PGD,1328
MSP,BUF,1418
ATL,LHR,20933
MCO,IAH,33757
SDF,LAS,3657
ATL,MLB,12221
EZE,MIA,43242
MDW,MSP,26382
ZRH,BOS,5236
SFO,SAN,54103
ATL,PHL,58953
SEA,AMS,7536
MFR,SEA,2395
JFK,KEF,5524
BRU,JFK,9863
RAP,DFW,2214
LBB,DEN,1726
BLD,GCN,1823
ATL,MUC,5559
MSP,ORD,54057
LYH,CLT,5889
JFK,IND,1454
LAX,LAS,97296
SFO,CLT,26206
FRA,DEN,7704
STL,DTW,12183
BOS,CMH,1227
CLT,MEM,15565
MKE,CLE,3279
SJO,MIA,20702
PHX,DEN,93370
ATL,STR,3577
SLC,JFK,22186
MDW,AUS,5527
MZT,MSP,2254
OKC,SLC,1991
LAS,SMF,25384
TPE,GUM,5365
FLL,AUS,6206
NRT,IAD,13381
LAS,MSP,43254
DFW,YYZ,7845
MSP,MDW,30091
HDN,MSP,1653
MBJ,IAH,1807
ATL,SGF,4965
IAD,LGA,5042
PHX,OAK,27730
FLL,BOS,24731
TXL,ORD,2417
EWR,DFW,25433
PVG,LAX,22037
HOU,GSP,2906
GEG,DEN,17252
CLT,PIT,27657
SPI,ORD,2395
PIT,CLT,29178
ATL,PIT,28420
TPA,PHX,14293
FLL,MDE,8377
BIL,LAS,1379
SCL,DFW,6795
ORD,ARN,3714
GSO,EWR,1975
DTW,PDX,2482
SAF,DEN,1654
LAS,BOS,5041
IAD,CHO,2184
MEX,IAD,6225
BNA,ATL,25465
SFB,DSM,1623
MDW,LGA,16837
PIT,LAX,3968
DCA,BGR,1932
DEN,SHV,1090
CPH,FLL,2279
TPA,IAH,18562
MSP,MSN,9279
ATL,SJU,24943
TRC,DFW,1522
BZE,IAH,9063
ORD,LNK,2887
TYS,DFW,5509
IAD,NRT,12051
DFW,GDL,7304
SFO,DTW,14616
BUR,OAK,32597
DFW,SAL,4515
AMS,SFB,1255
IAH,UIO,2712
IAD,GRR,1460
DAY,DCA,3965
STC,AZA,1478
MEX,LAX,36715
MLI,SFB,1598
AKL,LAX,20456
JFK,ZRH,9690
MFR,LAX,3248
BUF,CLT,12606
LAS,MDW,23192
EWR,IND,5521
SFO,KIX,5645
IAH,SEA,26818
SFO,IAH,38653
PDX,MSP,11768
HHH,CLT,2725
YYZ,MCO,28195
BUF,ATL,14434
DCA,HOU,4998
HOU,ATL,34005
AMA,IAH,2528
BWI,DAY,4631
MEX,SNA,6346
CLT,TRI,5265
EWR,AVP,1305
CHA,SFB,1289
AUS,FLL,6212
OME,ANC,2738
MSP,BIL,4241
MSY,ATL,48633
CVG,BWI,2501
GRU,MIA,46907
OGG,PHX,8141
IAH,MID,3004
IND,DCA,6966
SEA,ABQ,3033
CLE,RIC,1640
YYZ,MIA,25892
DFW,LIT,14071
ILG,MCO,2996
ZRH,JFK,9615
LAX,AGU,1610
IAH,RSW,7440
DEN,RDU,3931
MCO,MHT,8048
IAD,AUA,1185
ZIH,LAX,4205
AMA,LAS,3457
BWI,IAH,6663
IAH,CAE,1119
DCA,FLL,21543
SAN,LAX,26276
STL,SEA,3898
LAX,MNL,2108
LAX,RDU,7454
FSD,LAS,2691
LAN,ORD,1751
MEM,LAS,2101
ZCL,MDW,1211
IAD,TYS,1808
RIC,MSP,1399
IAD,KWI,3266
DFW,AEX,2847
BWI,ATL,50125
MCO,ORH,2125
YEG,PHX,12622
JFK,CCS,3061
PHX,OGG,7713
AUS,BNA,6869
MSP,BMI,1009
SEA,ALW,2695
PSP,DFW,11345
ALB,FLL,3534
MCI,BOS,4622
MIA,MAD,15477
DFW,HDN,3344
SFO,DEN,59335
YOW,LGA,1886
DKR,JFK,1250
HOU,LGA,7041
MDW,JAX,3228
PSP,YEG,4239
IND,IAH,6545
DTW,PVD,4464
MIA,STL,9161
ABE,CLT,4043
DEN,BOS,22071
MSP,YYZ,6860
FLL,YQB,4108
TPA,CMH,5801
EUG,SFO,7708
TAM,IAH,1204
WAW,ORD,4288
DTW,JAX,1644
SWF,DTW,2620
SFO,CVG,2272
CLT,MUC,5060
MLI,DTW,3139
JAX,BOS,3579
ATL,PHX,47135
MSP,YQR,2068
DTW,MTY,1590
LHR,DTW,4384
TTN,ATL,2320
SAP,MIA,10613
RNO,LAX,13657
EWR,ATL,31381
MLI,DFW,3572
KIX,SFO,7246
YYZ,IND,1137
DTW,HPN,2162
BZN,DEN,11084
ATL,TGU,2927
SPN,ICN,11694
DEN,BDL,4004
FAR,SFB,1305
DEN,ICT,6943
DEN,CVG,8549
BWI,SJU,7102
PLS,EWR,3009
FLL,CLT,36151
FWA,AZA,1413
SCL,JFK,7189
FAY,CLT,7207
IAH,PDX,9874
EWR,CMH,6038
LAX,ANC,2268
SFO,YYC,4966
PBI,BWI,10936
DTW,ALB,4065
LGB,BOS,2267
MGA,ATL,3530
MLI,MSP,1307
CLT,SBY,2096
SAV,ORD,1093
SFB,RFD,1343
MCI,PDX,3366
HRL,DAL,3028
LBB,IAH,3084
HSV,ORD,1603
LAX,SVO,5652
ELM,PHL,2115
PTY,IAD,6564
IAH,CZM,1668
PIT,IAH,10306
YUL,LAX,5367
BUR,JFK,3337
BRU,EWR,13325
RDU,MIA,9999
TGU,MIA,4549
DUS,JFK,4699
ATL,CAE,11725
SMF,LAS,26003
MSP,LAX,36759
PGD,GSP,1384
EWR,HNL,6034
LGA,YUL,6497
JAX,MDW,2014
MSP,CZM,3031
BUF,MDW,7751
LAS,IAH,40170
TYS,ORD,5503
CHS,CLT,17772
YEG,PSP,3972
MCI,PHL,3916
HPN,MCO,8582
ORD,MHT,2582
CLT,DAB,6523
IFP,MSP,1042
DFW,SJC,17760
DTW,SCE,1877
LIT,DAL,11424
MCO,DTW,49116
SAN,MCI,4101
ATL,AVP,1608
MIA,HAV,16372
YTZ,BOS,4342
JFK,ACC,3753
DXB,LAX,14351
LAS,ELP,8092
PTY,MCO,16768
MHT,LGA,2531
DEN,GJT,5351
ALB,IAD,3653
DFW,MKE,9408
LCK,SFB,1269
PSC,SEA,8447
PGD,FWA,1588
GSO,ATL,15602
SEA,DTW,12579
ATL,GRR,9051
LAS,IDA,1202
BDL,MSP,7345
ACY,MCO,9293
AVP,EWR,1611
ORD,AUS,11700
FAR,PIE,1378
PHL,MSY,4930
MEX,DFW,22540
FAT,SFO,4468
BIL,MSP,4403
JFK,RSW,10270
MOT,MSP,7216
HOU,AUS,11756
PHL,EWR,6818
PHL,SYR,6923
IND,IAD,4462
PHL,CDG,5224
SYD,SFO,8391
GSO,SFB,1293
PDX,SFO,42241
SLC,LAX,44598
CVG,STL,2235
GRI,DFW,1966
DFW,LAS,56376
SFB,HGR,1358
IAH,MCI,8567
PHL,ITH,2707
IST,ORD,7052
MBS,MSP,1147
TUL,DFW,20802
GTF,DEN,2629
MSP,MSO,2591
FRA,ORD,20960
DEN,OGG,2685
MCI,STL,11007
ATW,ORD,3210
DFW,MEX,21901
EYW,DCA,1681
DCA,SJU,3856
BDA,BOS,2044
MDW,SJC,3027
CVG,DEN,8379
DAL,HRL,2925
CAK,TPA,3185
YEG,SFO,2364
CLT,YOW,1173
PHL,SAT,1757
MDT,PIE,1685
JRV,VQS,1565
ATL,CRW,4698
OKC,LAX,3476
PIA,ATL,3129
EWR,PVR,1383
JFK,DOH,8835
MSY,PHX,3762
PIT,MCO,13399
DFW,LHR,24443
ITH,EWR,1691
MDW,DTW,14481
DEN,SAF,1778
SDQ,BOS,3530
IAH,SFO,41801
IAH,SHV,4127
GUM,MNL,20361
IAH,HOB,1179
MSP,BZN,5821
LAX,SJO,5170
MFR,SFO,4129
PIE,PBG,2028
DSM,DEN,12528
ATL,MHT,2282
HNL,BNE,2988
JFK,MCO,51973
PVG,SPN,4896
PHL,PHX,30608
RSW,GRR,1685
BOS,CVG,5211
DFW,BTR,7296
BLI,HNL,4590
MCO,RDU,11570
MCO,BOS,28537
PHL,IPT,1583
PHL,RIC,6303
PWM,DTW,3272
HNL,JHM,1226
PUJ,MSP,1929
AZA,FAR,2715
TPA,TTN,1392
DTW,BGM,1826
MRY,SAN,1347
LOS,ATL,5372
SYR,JFK,8601
ORD,LAX,83712
TRI,ATL,6983
TPA,PTY,1606
EWR,SEA,16573
LAX,XNA,1414
CID,AZA,2556
DFW,NRT,12732
PBG,PGD,1294
PHL,GSP,1890
PHX,SJC,28210
DFW,CUU,1511
CLT,RIC,18929
DCA,LAS,3935
PSP,SLC,2949
DAL,LBB,12457
MCO,CLE,9155
SMF,ONT,16680
