code_depart,code_arrive,passengers
BUF,IAD,1628
CRP,DFW,8728
LAS,MRY,1262
PHL,LAS,30052
COS,SEA,1431
SAN,PVR,1811
CLE,RDU,1240
ORF,PHL,5907
MIA,MAO,10260
SJU,PHL,19046
JFK,CLE,1784
YVR,ORD,7681
JFK,SCL,6218
ABQ,IAH,4703
DFW,LCH,2032
MIA,MEM,1191
HOU,DEN,16511
SBA,LAX,7467
PHL,ROA,1485
CLE,JFK,1933
UIO,ATL,3861
DFW,MTJ,1434
MSP,FLL,12374
DFW,LEX,3190
SEA,IAD,8322
EWR,MSP,10105
ATL,EYW,11652
FSD,MSP,10013
PHL,MSP,18856
YXE,ORD,1131
ORD,ICT,5545
MBJ,EWR,1816
LAX,MEM,4062
LIM,LAX,11393
LAS,DSM,6727
IST,JFK,17715
MCO,ROC,3563
HOU,OAK,6644
ATL,JNB,7099
BUR,PDX,5174
PIE,DSM,1579
ALB,CLE,1029
DEN,FLL,21392
MSP,SNA,9382
MIA,REC,3292
SLC,SNA,11789
PNS,ATL,19296
MCO,YOW,4587
AVL,SFB,1382
PHX,DTW,26936
DOH,IAH,7764
PIE,AVL,1471
MCO,CAK,4875
OGG,SMF,4533
MSY,MEM,1324
HNL,IAH,7921
TYS,PIE,1697
DFW,SAT,48128
MSP,GTF,1715
BOI,SEA,14591
PNS,BNA,4063
PHL,CLT,32166
GUA,ATL,8686
SEA,SBA,1841
SNA,HOU,4038
BNA,BOS,2784
MLI,PGD,1197
DFW,CUN,21586
BFL,PHX,3379
EWR,BDL,2342
TTN,MCO,2948
AZA,ICT,1838
MSY,FLL,8220
LAS,BLI,12747
ASE,DFW,1264
BDL,PBI,3751
SDQ,FLL,9087
YWG,MSP,5531
MSP,IAD,3919
DFW,PIT,11618
ORD,GSP,2434
HDN,IAH,2675
GRR,ORD,12122
LIR,JFK,4010
YVR,IAH,4333
HDN,ATL,3063
AMM,DTW,1033
ATL,GCM,3681
STT,PHL,4353
PHX,JFK,21959
PVG,JFK,8946
TPA,BHM,5224
EWR,GSP,1938
MSP,IND,8565
SAP,EWR,1048
ORF,BNA,3160
ELP,SAT,5181
MSY,BWI,6110
ONT,LAS,16254
PHX,GEG,8126
YYZ,SFO,12215
ONT,OAK,20117
ABQ,DAL,21325
PHL,MCO,49086
SJD,LAX,13007
OMA,ATL,14979
LAX,ATL,70793
OKC,STL,2779
DFW,MEM,10930
ANC,SCC,1871
IND,MEM,1485
FLL,JFK,42870
SMF,SLC,9031
BWI,SAN,7937
DFW,CHS,2487
AMS,MIA,1014
NAS,EWR,3188
EWR,CLT,41510
CPR,DEN,4200
FLL,MGA,1951
BOS,TPA,10558
MKE,CVG,2213
JFK,BDA,3636
DEN,HNL,5841
DCA,LAX,8920
JFK,PUJ,11589
LIT,ATL,14685
JFK,HOU,4204
ROC,CLE,1225
ICN,GUM,18527
SJC,HNL,3719
YVR,HNL,13504
MDW,CUN,3791
LAX,RNO,13175
ORD,SJC,3974
ALB,MSP,1176
RDU,TTN,2401
IAD,GSP,2421
MEM,DEN,2351
DFW,DSM,9542
DEN,HOU,18345
ATL,RDU,47160
IST,IAH,7848
SEA,YYJ,7807
PHL,ORF,7159
HRL,SAT,2379
LGA,RDU,16248
SAT,SEA,3821
DTW,SAN,7190
PWM,BWI,6957
LIM,DFW,5188
BWI,MKE,7106
STL,IAH,6451
ORD,SDF,8795
TPA,LGA,17438
SLC,IND,3355
LWS,BOI,1190
IAH,AMA,2655
BJX,MDW,1026
RUH,JFK,3455
ATL,LAX,71417
DCA,BDL,7325
IAH,PBI,5881
CAK,CLT,9589
BOS,CHS,2487
SAT,PHL,1903
MUC,ATL,5518
ATL,SFO,36767
CLE,LAX,9169
DCA,CVG,6122
RSW,MSP,27458
TOL,ORD,2843
MDW,LAX,18199
LAX,LIH,16639
MEM,MCO,6193
EWR,ORD,38057
EWR,YYZ,11072
FLL,HPN,6040
PGD,PIA,1169
CLT,OAJ,7582
OSL,FLL,2001
SUN,LAX,1315
PHX,ELP,23254
SAN,FAT,2302
DEN,LGA,37765
DTW,YOW,1983
PHL,BGM,2374
SFB,ATW,1292
SJC,AUS,6939
ICN,HNL,22967
LAX,SMF,34446
XNA,CLT,3709
PIT,EWR,6771
LAX,SLC,43909
DXB,JFK,37356
LAS,YYC,14593
MYR,FLL,4290
DCA,CHS,4550
SFB,ELM,1810
DEN,LIT,4426
CPR,LAS,1188
BWI,RSW,17697
PIT,JFK,5112
MDW,BHM,4239
LAS,RDU,4260
LHR,MSP,5163
MDW,OKC,1790
SJC,BOI,1643
PGD,TOL,1240
JFK,SLC,22344
PDX,GEG,11849
TUS,IAH,5457
MTY,ORD,2854
LGA,MSY,7755
ORD,SLC,15123
OAK,JFK,1698
CLT,PLS,5040
DFW,CRP,8625
BOS,YHZ,1340
NRT,DTW,8665
JFK,OSL,4419
BHM,TPA,4248
GRR,DFW,4690
DAY,ATL,22023
MIA,CDG,15441
ORD,IAH,47843
EWR,DUS,5102
IAD,ORD,17679
BOI,SAN,1876
BWI,EWR,4034
PHL,ISP,2880
DEN,DIK,2406
ELP,ATL,5656
ORD,TPA,21079
BWI,DFW,20982
IAH,ZIH,1029
ARN,ORD,3657
SLC,PHL,8342
MIA,CHS,2324
PHX,DSM,6191
DAL,BKG,2115
PGD,SBN,1625
ZRH,ATL,2768
EWR,DEN,27601
TPA,CAK,3037
SAT,PHX,17043
SYR,BOS,1088
SBP,LAX,3423
CRW,CLT,4532
OMA,EWR,1931
DTW,CWA,1862
MSP,RAP,4273
IAD,DOH,8639
FNT,ATL,9623
RDU,CLT,31765
JAC,ATL,1345
GLA,EWR,2906
PWM,PHL,8071
LAX,MEL,17287
SPN,CAN,1920
IAD,SDF,1066
FLL,FPO,2296
MEL,LAX,14932
IAH,ABQ,4731
CLE,MIA,2468
CLT,AVL,7495
DAL,ICT,4386
MFR,LAS,1124
PHX,OMA,13273
TXL,EWR,1816
IAD,JAX,3617
SLC,DFW,27249
LAS,BUF,4516
PHL,FLL,26274
RDU,BNA,9869
CMH,CLT,14958
YOW,ORD,4710
EWR,CPH,6130
LAX,HOU,17335
MSP,SAN,14711
ORD,SMF,3248
FNT,MSP,1489
IAD,PWM,1193
DTW,LGA,33906
MGM,ATL,5700
MDW,ICT,3106
AZA,EUG,1350
RHI,MSP,1707
DEL,EWR,7246
MCO,PIT,14222
HNL,SEA,25959
PTY,DFW,1704
RSW,BWI,16426
EWR,SNA,5717
HOU,EWR,6388
PDX,NRT,3846
DFW,CLL,4799
PHL,MUC,5330
IAD,PDX,4216
CLT,MEX,2748
SAN,TUS,6026
IAD,GRU,7133
EGE,ATL,4242
SEA,YLW,4964
IAD,DKR,5488
PTY,LAX,12859
LHR,ORD,36226
SLC,FCA,3262
DEN,SBA,4555
DAL,HOU,63148
YWG,MCO,1681
LAS,EUG,1642
HPN,CLT,2953
CMH,IAH,4562
STL,RSW,7114
RTB,MIA,1248
LEX,ATL,11216
OMA,SLC,2981
GDL,ONT,3861
SUN,SEA,1590
LAX,MCO,27107
DEN,RSW,6232
ANU,EWR,4068
LGA,MIA,66345
IAH,GPT,3510
JFK,DXB,34511
RDU,IAH,4627
MSP,MOT,7319
ATL,PIA,3223
DTW,LAS,41040
FWA,PGD,1561
TTN,MDW,2056
ATL,YYZ,16141
SLC,SMF,9728
SKB,MIA,5067
PHX,PSP,8906
LAX,EGE,1488
CLL,DFW,4215
MLI,PIE,1496
PHL,DCA,10674
ATL,LFT,4670
DFW,MAD,4188
AUS,LBB,2110
PHL,BUF,6126
BDA,LGA,1932
NGO,HNL,11430
PVG,EWR,7458
MIA,BOS,32578
ONT,SEA,8387
MIA,EGE,3886
YXE,DEN,2580
GSP,SFB,1197
JAX,BNA,7827
PHX,MIA,7284
ISN,MSP,3390
LGA,BOS,23172
SAT,MSP,4807
RDU,SLC,2411
OAK,KOA,2921
SEA,SLC,31820
JFK,BCN,6617
ORD,LSE,2370
LAX,PBI,2895
SAN,IAH,18275
ABQ,PHX,29824
MCI,TPA,3424
EYW,MIA,6591
MSP,PSP,6452
ORD,CMI,4715
NAS,ATL,13008
ORD,LIR,1345
MEX,ATL,18405
FGI,PPG,2638
PDX,IAH,10031
DEN,JAX,3400
ORF,MCO,3865
IAD,YOW,2670
DFW,MHK,3250
GUM,ICN,26852
SAN,PHL,8244
JFK,ABQ,1643
